link_to_page;date.publish;decision.name;date.publish.orig;category;page;category_name
http://www.ohr.int/?cat=318&paged=3;2005-09-09;Decision On Appointment of the Director of the State Border Service;09/09/2005;318;3;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=3;2005-07-04;Decision Extending the mandate of a Supervisor for Intelligence Reform;07/04/2005;318;3;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=3;2005-06-08;Decision On Appointment of the Director of the State Investigation and Protection Agency;06/08/2005;318;3;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=3;2005-04-04;Decision Enacting the Law on Amendments to the Election Law of Bosnia and Herzegovina;04/04/2005;318;3;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-12-31;Decision Extending the Mandate of the Defence Reform Commission;12/31/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-12-23;Decision Enacting the Law on Amendments to the Law on the State Investigation and Protection Agency;12/23/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-12-17;Decision Enacting the Law on Amendments to the Law on Police Officials of Bosnia and Herzegovina;12/17/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-12-17;Decision Extending the mandate of a Supervisor for Intelligence Reform;12/17/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-07-05;Decision Establishing the Police Restructuring Commission;07/05/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-06-18;Decision Appointing a Supervisor for Intelligence Reform;06/18/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-05-11;Decision Amending the High Representative Decision Extending The Mandate Of The Defense Reform Commission As Published In The Official Gazette Of Bosnia And Herzegovina No. 4/04;05/11/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-05-04;Decision Enacting The Law On Amendments To The Law On The Intelligence And Security Agency Of Bosnia And Herzegovina;05/04/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-04-21;Decision Enacting the Law on Amendments to the Law on Civil Service in the Administration of the Republika Srpska;04/21/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-04-21;Decision enacting the Law on Amendments to the Law on Civil Service of the Federation of Bosnia and Herzegovina;04/21/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-04-21;Decision enacting the Law on Amendments to the Law on Civil Service in the Institutions of Bosnia and Herzegovina;04/21/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=4;2004-02-04;Decision Extending The Mandate Of The Defense Reform Commission;02/04/2004;318;4;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-12-17;Decision proposing the Law on the Intelligence and Security Agency of BiH to the Parliamentary Assembly of BiH;12/17/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-12-17;Decision proposing the Law on the Intelligence and Security Agency of BiH to the Parliamentary Assembly of BiH;12/17/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-05-30;Decision Establishing the Expert Commission on Intelligence Reform;05/30/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-05-09;Decision Establishing the Defense Reform Commission;05/09/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-04-02;Decision Enacting the Law on Amendments to the Law on Defence of the Federation of Bosnia and Herzegovina;04/02/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-04-02;Decision Amending the Constitution of the Federation of Bosnia and Herzegovina;04/02/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-04-02;Decision Enacting the Law on Amendments to the Law on Army of Republika Srpska;04/02/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-04-02;Decision Enacting the Law on Amendments to the Law on Defence of Republika Srpska;04/02/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-04-02;Decision Amending the Constitution of Republika Srpska;04/02/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-03-14;Decision Enacting the Law on Amendments to the Law on Civil Service in the Institutions of Bosnia and Herzegovina;03/14/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-02-27;Decision Enacting the Law on Ministerial, Government and other Appointments of the Republika Srpska;02/27/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=5;2003-02-27;Decision Enacting the Law on Ministerial and Government Appointments of the Federation of Bosnia and Herzegovina;02/27/2003;318;5;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2003-02-27;Decision Enacting the Law on Ministerial and Government Appointments of Bosnia and Herzegovina;02/27/2003;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2003-02-24;Decision Imposing Amendments to the Book of Rules on the Fee for the Form for Personal Documents;02/24/2003;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2002-12-31;Decision Enacting the Law on Amendments to the Law on Citizenship of Bosnia and Herzegovina;12/31/2002;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2002-12-03;Decision Enacting the Law on the Council of Ministers of Bosnia and Herzegovina;12/03/2002;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2002-10-18;Decision Establishing the Ownership and the Right of Use of certain buildings and land within the complex of “Ramiz Salcin” (formerly known as “Viktor Bubanj”) in Sarajevo;10/18/2002;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2002-10-07;Decision Appointing a Director and Deputy Directors of the Agency of Bosnia and Herzegovina for Information and Protection;10/07/2002;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2002-10-07;Decision Amending the Constitution of the Federation of Bosnia and Herzegovina;10/07/2002;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2002-10-07;Decision Enacting the Law on Immunity of Republika Srpska;10/07/2002;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2002-10-07;Decision Enacting the Law on the Immunity of the Federation of Bosnia and Herzegovina;10/07/2002;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2002-10-07;Decision Enacting the Law on Immunity of Bosnia and Herzegovina;10/07/2002;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2002-10-07;Decision Amending the Constitution of Republika Srpska;10/07/2002;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=6;2002-10-07;Decision Amending the Constitution of the Federation of Bosnia and Herzegovina;10/07/2002;318;6;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-09-16;Decision annuling the appointment of two Judges from the RS to the BiH Constitutional Court;09/16/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-06-28;Decision Imposing the Law on Amendments to the Law on Central Registers and Data Exchange;06/28/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-06-28;Decision Imposing the Law on Amendments to the Law on Identity Cards of Citizens of Bosnia and Herzegovina;06/28/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-05-23;Decision Amending the Constitution of the Republika Srpska;05/23/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-05-23;Decision Amending the Constitution of the  Federation of Bosnia and Herzegovina;05/23/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-05-23;Decision Imposing the Law on Conflict of Interest in Governmental Institutions of Bosnia and Herzegovina;05/23/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-05-23;Decision appointing Mr. Jakob Finci to the position of first Head of the Civil Service Agency;05/23/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-05-23;Decision Imposing the Law on Civil Service in the Institutions of  Bosnia and Herzegovina;05/23/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-05-09;Decision On appointment of judges and on the establishment of the Court of Bosnia and Herzegovina;05/09/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-04-19;Decision amennding the BiH Election Law in accordance with the new Entity Constitutions;04/19/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-04-19;Decision on Constitutional Amendments in the Federation;04/19/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=7;2002-04-19;Decision on Constitutional Amendments in Republika Srpska;04/19/2002;318;7;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2002-04-18;Decision amending the BiH Election Law by reducing the election announcement period from 170 to 169 days;04/18/2002;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2002-03-28;Decision amending the RS Law on Political Organisations;03/28/2002;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2002-03-28;Decision inserting an annex to the Federation Law on Procedure of Entry of Legal Entities into the Court Register;03/28/2002;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2002-03-28;Decision amending the BiH Election Law;03/28/2002;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2002-02-08;Decision amending the Federation Law on Preservation of Assets Declared National Monuments of BiH under Decisions of the Commission for Protection of National Monuments;02/08/2002;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2002-02-08;Decision imposing the RS Law on Implementation of Decisions of the Commission to Preserve National Monuments established under Annex 8 of the Dayton Peace Agreement;02/08/2002;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2001-11-16;Decision appointing the four national members of the Election Commission of BiH;11/16/2001;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2001-09-27;Decision Appointing International Members Of The Election Commission Of Bosnia And Herzegovina;09/27/2001;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2001-01-11;Decision establishing interim procedures to protect vital interests of Constituent Peoples and Others, including freedom from Discrimination;01/11/2001;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2000-12-14;Decision imposing the Law on the Human Rights Ombudsman of Bosnia and Herzegovina;12/14/2000;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2000-12-12;Decision amending the Law on Travel Documents of Bosnia and Herzegovina;12/12/2000;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=8;2000-11-12;Decision establishing the BiH State Court;11/12/2000;318;8;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;2000-09-29;Decision imposing amendments to the Law on Travel Documents introducing a single national passport;09/29/2000;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;2000-08-07;Decision amending the Law on Filling a Vacant Position of a Member of the Presidency of BiH;08/07/2000;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;2000-03-08;Decision on the establishment of the Brcko District of BiH;03/08/2000;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;2000-01-13;Decision imposing the Law on State Border Service;01/13/2000;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;1999-10-29;Decision requiring prior consultation of IPTF before foreigners without visa of residence permit are expelled;10/29/1999;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;1999-10-01;Decision annulling five RS laws concerning state-level competencies, which were passed in violation of the BiH Constitution;10/01/1999;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;1999-06-25;Decision on law-signing procedures in the RS during a presidential vacancy;06/25/1999;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;1999-06-25;Decision imposing the Law on the National Anthem of BiH;06/25/1999;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;1999-06-02;Decision on the names of geographic locations for use by the Council of Ministers;06/02/1999;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;1999-04-15;Decision ordering a session of the Presidency of BiH after a long break;04/15/1999;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;1999-02-19;Decision on the interpretation of Article V.5a of Annex 4 of the GFAP in respect of civilian command over armed forces;02/19/1999;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=9;1998-08-01;Decision on the establishment of an Independent Experts Commission to prepare the election law;08/01/1998;318;9;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=10;1998-07-01;Decision on the implementation by the BiH authorities of the GFAP with a view to reconciliation and multi-ethnicity;07/01/1998;318;10;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=10;1998-05-20;Decision on the deadlines for the implementation of the new uniform license plate system;05/20/1998;318;10;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=10;1998-05-18;Decision on the shape and design of the coat-of-arms of BiH;05/18/1998;318;10;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=10;1998-04-02;Decision on the flying of the flag of BiH;04/02/1998;318;10;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=10;1998-02-03;Decision imposing the Law on the Flag of BiH;02/03/1998;318;10;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=318&paged=10;1997-12-16;Decision imposing the Law on Citizenship of BiH;12/16/1997;318;10;State Symbols, State-Level Matters and Const. Issues
http://www.ohr.int/?cat=326&paged=1;2011-06-10;Notice of Termination of the Application of the High Representative’s Decision Reviewing the Orders Blocking All Bank Accounts of, held by, and/or in the Name of Certain Individuals issued on 5 September 2008 and Related Orders of the High Representative;06/10/2011;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=1;2011-01-26;Decision Enacting the Decision on Temporary Financing of the Federation of Bosnia and Herzegovina for the Period January-March 2011;01/26/2011;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=1;2008-09-05;Decision REVIEWING THE ORDERS BLOCKING ALL BANK ACCOUNTS OF, HELD BY, AND/OR IN THE NAME OF CERTAIN INDIVIDUALS;09/05/2008;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=1;2008-01-08;Decision Enacting the Law on Amendments to the Law on the Indirect Taxation System in Bosnia and Herzegovina;01/08/2008;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=1;2008-01-08;Decision Extending mandate of Mr. Peter Nicholl as an initial Chairman of Governing Board of the Indirect Taxation Authority;01/08/2008;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=1;2007-05-31;Decision Extending mandate of Mr. Peter Nicholl as an initial Chairman of Governing Board of the Indirect Taxation Authority;05/31/2007;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=1;2007-05-04;Decision Enacting the Law on Amendments to the Law on Payments into the Single Account and Distribution of Revenues;05/04/2007;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=1;2007-05-04;Decision Enacting the Law On Amendments to the Law on the Indirect Taxation System in Bosnia and Herzegovina;05/04/2007;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=1;2006-12-19;Decision Extending mandate of Mr. Peter Nicholl as an initial Chairman of Governing Board of the Indirect Taxation Authority;12/19/2006;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=1;2006-12-15;Decision terminating the Appointment of the Provisional Administrator of “Hercegovacka Banka” Mostar and Transferring Competencies Concerning the Provisional Administration of “Hercegovacka Banka” Mostar to the Banking Agency of the Federation of BiH;12/15/2006;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=1;2006-12-15;Decision Terminating the Appointment of the Liquidation Receiver for “Privredna Banka a.d. Srpsko Sarajevo” and Transferring Competencies Concerning the Liquidation Proceedings for “Privredna Banka a.d. Srpsko Sarajevo” to the Banking Agency of the RS;12/15/2006;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=1;2006-09-30;Decision Extending the mandate of the Liquidation Receiver for “Privredna Banka a.d. Srpsko Sarajevo”;09/30/2006;326;1;Economic Field
http://www.ohr.int/?cat=326&paged=2;2006-08-30;Decision extending the mandate of the Liquidation Receiver for “Privredna Banka a.d. Srpsko Sarajevo”;08/30/2006;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=2;2006-08-03;Decision Enacting Law on Amendments to the Law on the Banking Agency of the Federation of BiH;08/03/2006;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=2;2006-07-05;Decision appointing Mr. Peter Nicholl as an initial Chairman of Governing Board of the Indirect Taxation Authority;07/05/2006;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=2;2006-06-21;Decision Instituting the liquidation proceedings and appointing a Liqiudation Receiver for the «Privredna Banka a.d. Srpsko Sarajevo»;06/21/2006;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=2;2006-04-07;Decision Extending the mandate of a first Chairman of Governing Board of the Indirect Taxation Authority;04/07/2006;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=2;2006-01-13;Decision Extending the Mandate of a First Chairman of Governing Board of the Indirect Taxation System;01/13/2006;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=2;2005-07-14;Decision Enacting the Law on Amendments to the Law on the Sales Tax on Products and Services;07/14/2005;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=2;2005-07-14;Decision Enacting the Law on Amendments to the Law on Excise Duties in Bosnia and Herzegovina;07/14/2005;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=2;2005-01-14;Decision Extending the mandate of a first Chairman of Governing Board of the Indirect Taxation System;01/14/2005;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=2;2004-11-08;Decision revoking the Banking License and instituting the bankruptcy proceedings of the “Privredna Banka a.d. Srpsko Sarajevo”;11/08/2004;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=2;2004-10-25;Decision Enacting the Law on Amendments to the Law on the Indirect Taxation System in BiH;10/25/2004;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=2;2004-06-08;Decision appointing a Provisional Administrator for the “Privredna Banka a.d. Srpsko Sarajevo”;06/08/2004;326;2;Economic Field
http://www.ohr.int/?cat=326&paged=3;2004-01-28;Decision Enacting the Decision on Amendments to the Decision on the fee for the management of areas for providing infrastructure;01/28/2004;326;3;Economic Field
http://www.ohr.int/?cat=326&paged=3;2004-01-28;Decision Enacting The Law On Amendments To The Law On Earmarking And Channelling A Part Of The Company’s Revenue Effectuated On The Basis Of The Use Of The Hydro-Power Plants Of The FBiH;01/28/2004;326;3;Economic Field
http://www.ohr.int/?cat=326&paged=3;2004-01-14;Decision On the appointment of the first Chairman of the Governing Board of the Indirect Taxation System;01/14/2004;326;3;Economic Field
http://www.ohr.int/?cat=326&paged=3;2003-04-18;Decision Enacting the Decision on Amendments to the Decision on the fee for the management of areas for providing infrastructure;04/18/2003;326;3;Economic Field
http://www.ohr.int/?cat=326&paged=3;2003-04-18;Decision Enacting The Law On Amendments To The Law On Earmarking And Channelling A Part Of The Company’s Revenue Effectuated On The Basis Of The Use Of The Hydro-Power Plants;04/18/2003;326;3;Economic Field
http://www.ohr.int/?cat=326&paged=3;2003-03-07;Decision on temporary suspension of right to challenge Banking Agency anti-terrorism orders before the courts;03/07/2003;326;3;Economic Field
