1;name.original;name.unified1;name.unified2;comment;changed in R;ethnicity;coalition;number of partners;coalition.partner1;coalition.partner2;coalition.partner3;coalition.partner4;
161;Demokratska Unija Bosne I Herzegovina;Demokratska Unija Bosne I Herzegovina;Demokratska Unija Bosne I Herzegovina;same as HDU? Check ethnicity;;C;;;;;;;
163;Demokratski Centar Republike Srpske;Demokratski Centar Republike Srpske;Demokratski Centar Republike Srpske;;;nk;;;;;;;
164;Demokratski Forum;Demokratski Forum;Demokratski Forum;;;M;;;;;;;
165;Demokratski Liberalni Centar Bih (dlc Bih);Demokratski Liberalni Centar Bih (DLC);Demokratski Liberalni Centar Bih (DLC);check ethnicity;;M;;;;;;;
36;Bacinski Ivan - Dns-demokratski Narodni Savez;Demokratski Narodni Savez (DNS);Demokratski Narodni Savez (DNS);Serb: http://en.wikipedia.org/wiki/List_of_political_parties_in_Bosnia_and_Herzegovina;;M;;;;;;;
166;Demokratski Narodni Savez;Demokratski Narodni Savez (DNS);Demokratski Narodni Savez (DNS);;;M;;;;;;;
177;Dns-demokratski Narodni Savez;Demokratski Narodni Savez (DNS);Demokratski Narodni Savez (DNS);;;M;;;;;;;
938;Stahnek Stefan - Dns-demokratski Narodni Savez;Demokratski Narodni Savez (DNS);Demokratski Narodni Savez (DNS);;;M;;;;;;;
167;Demokratski Pokret Srpske - Depos;Demokratski Pokret Srpske (DEPOS);Demokratski Pokret Srpske (DEPOS);;;S;;;;;;;
170;Demorkatski Pokret Srpske - Depos;Demokratski Pokret Srpske (DEPOS);Demokratski Pokret Srpske (DEPOS);;;S;;;;;;;
168;Demokratski Preporod Srpske (dps);Demokratski Preporod Srpske (DPS);Demokratski Preporod Srpske (DPS);;;nk;;;;;;;
169;Demokratsko Patriotska Stranka Republike Srpske;Demokratsko Patriotska Stranka;Demokratsko Patriotska Stranka;;;S;;;;;;;
183;Dpb - Udruzenje Gradana Milici;DPB;DPB;;;nk;;;;;;;
200;Ds Penzionera Bih;DS Penzionera;DS Penzionera;;;nk;;;;;;;
217;Ekoloska Demokratska Stranka-eds;Ekoloska Demokratska Stranka (EDS);Ekoloska Demokratska Stranka (EDS);check ethnicity: could be also Serb (?);;M;;;;;;;
218;Ekoloska Partija Republike Srpske;Ekoloska Partija Republike Srpske;Ekoloska Partija Republike Srpske;check ethnicity: could be also Serb (?);;M;;;;;;;
221;Ekoloski Pokret;Ekoloski Pokret;Ekoloski Pokret;check ethnicity;;M;;;;;;;
222;Ekoloski Pokret - Zenica;Ekoloski Pokret;Ekoloski Pokret;;;M;;;;;;;
219;Ekoloska Stranka (ekos);EKOS;EKOS;check ethnicity;;M;;;;;;;
48;Basic Bojan - Ekoloska Stranka E5 - Zeleni;Evropska Ekoloska Stranka - Zeleni (E5);Evropska Ekoloska Stranka - Zeleni (E5);check;;M;;;;;;;
214;E5 - Evropska Ekoloska Stranka;Evropska Ekoloska Stranka - Zeleni (E5);Evropska Ekoloska Stranka - Zeleni (E5);;;M;;;;;;;
220;Ekoloska Stranka E5 - Zeleni;Evropska Ekoloska Stranka - Zeleni (E5);Evropska Ekoloska Stranka - Zeleni (E5);check ethnicity;;M;;;;;;;
235;Evropska Ekoloska Stranka E-5;Evropska Ekoloska Stranka - Zeleni (E5);Evropska Ekoloska Stranka - Zeleni (E5);;;M;;;;;;;
253;Gasi Sead - Ekoloska Stranka E5 - Zeleni;Evropska Ekoloska Stranka - Zeleni (E5);Evropska Ekoloska Stranka - Zeleni (E5);;;M;;;;;;;
255;Glas Nezadovoljnih Gradana Bih - Gng Bih;Glas Nezadovoljnih Gradana Bih - Gng Bih;Glas Nezadovoljnih Gradana Bih - Gng Bih;check ethnicity;;M;;;;;;;
265;Gracancka Alijanca - Za Novi Politiku;Gracancka Alijanca - Za Novi Politiku;Gracancka Alijanca - Za Novi Politiku;check ethnicity;;M;;;;;;;
266;Gracanicka Partija Napretka;Gracanicka Partija Napretka;Gracanicka Partija Napretka;check ethnicity;;M;;;;;;;
54;Begovic Jasminka - Gradanska Demokratska Stranka Bosne I Hercegovine;Gradanska Demokratska Stranka;Gradanska Demokratska Stranka;check ethnicity;;M;;;;;;;
264;Gradanska Demokratska Stranka Bosne I Hercegovine;Gradanska Demokratska Stranka;Gradanska Demokratska Stranka;check ethnicity;;M;;;;;;;
267;Gradanska Demokratska Stranka Bih;Gradanska Demokratska Stranka;Gradanska Demokratska Stranka;check ethnicity;;M;;;;;;;
268;Gradanska Demokratska Stranka Bosne I Herzegovine;Gradanska Demokratska Stranka;Gradanska Demokratska Stranka;check ethnicity;;M;;;;;;;
280;Haliti Jusuf - Gradanska Demokratska Stranka Bosne I Hercegovine;Gradanska Demokratska Stranka;Gradanska Demokratska Stranka;check ethnicity;;M;;;;;;;
285;Hasanovic Rusmir - Gradanska Demokratska Stranka Bosne I Hercegovine;Gradanska Demokratska Stranka;Gradanska Demokratska Stranka;check ethnicity;;M;;;;;;;
396;Jacesen Zlatko - Gradanska Demokratska Stranka Bosne I Hercegovine;Gradanska Demokratska Stranka;Gradanska Demokratska Stranka;check ethnicity;;M;;;;;;;
423;Knez Zeljko - Gradanska Demokratska Stranka Bosne I Hercegovine;Gradanska Demokratska Stranka;Gradanska Demokratska Stranka;check ethnicity;;M;;;;;;;
269;Gradanska Inicijativa Zenica Za Eu;Gradanska Inicijativa Zenica Za Eu;Gradanska Inicijativa Zenica Za Eu;check ethnicity;;M;;;;;;;
270;Gradanska Partija Napretka;Gradanska Partija Napretka;Gradanska Partija Napretka;check ethnicity;;M;;;;;;;
290;Hdz 1990- Hrvatska Demokratska Zajednica 1990;HDZ 1990;HDZ 1990;;;C;;;;;;;
313;Hrvatska Demokratska Zajednica 1990;HDZ 1990;HDZ 1990;;;C;;;;;;;
294;Hdz Bih, Hdz 1990, Hss - Nhi, Koalicija Za Novo Sarajevo;Koalicija - Hdz Bih, Hdz 1990, Hss - Nhi;Koalicija - Hdz Bih, Hdz 1990, Hss - Nhi;Koalicija za Novo Sarajevo is the name of the coalition, and not a party;;C;Y;3;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica 1990 (HDZ 1990);Hrvatska Seljacka Stranka - Nova Hrvatska Inicijativa (HSS-NHI);;
295;Hdz Bih, Hss-nhi, Koalicija Za Ilidzu I Stup;Koalicija - Hdz Bih, Hss-nhi;Koalicija - Hdz Bih, Hss-nhi;;;C;Y;2;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Seljacka Stranka - Nova Hrvatska Inicijativa (HSS-NHI);;;
304;Hkdu Bih - Hss;Koalicija - Hkdu, HSS;Koalicija - Hkdu, HSS;;;C;Y;2;Hrvatska Krscanska Demokratska Unija (HKDU);Hrvatska Seljacka Stranka (HSS);;;
60;Bh-hcsp;Hrvatska Cista Stranka Prava (HCSP);Hrvatska Cista Stranka Prava (HCSP);;;C;;;;;;;
308;Hrvatks Cista Prava Bosne I Hercegovine (hcsp Bih);Hrvatska Cista Stranka Prava (HCSP);Hrvatska Cista Stranka Prava (HCSP);;;C;;;;;;;
311;Hrvatska Cista Stranka Prava Bosne I Hercegovine (hcsp Bih);Hrvatska Cista Stranka Prava (HCSP);Hrvatska Cista Stranka Prava (HCSP);;;C;;;;;;;
312;Hrvatska Demokratska Unija Bih;Hrvatska Demokratska Unija;Hrvatska Demokratska Unija;;;C;;;;;;;
288;Hdz - Hrvatska Demokratska Zajednica Bih;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica (HDZ);;;C;;2;;;;;
289;Hdz - Koalicija Za Konjic;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica (HDZ);;;C;;;;;;;
291;Hdz Bih;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica (HDZ);;;C;;;;;;;
292;Hdz Bih - Croatia Democratic Union Of Bih;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica (HDZ);;;C;;;;;;;
293;Hdz Bih - Hrvatska Demokratska Zajednica Bih;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica (HDZ);;;C;;;;;;;
296;Hdz Koalicija Za Zenicu;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica (HDZ);;;C;;;;;;;
297;Hdz-koalicija Za Jablanicu;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica (HDZ);;;C;;;;;;;
299;Hdzbih-hrvatska Demokratska Zajednica Bih;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica (HDZ);;;C;;;;;;;
314;Hrvatska Demokratska Zajednica Bih;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica (HDZ);;;C;;;;;;;
857;Shatri Gjevat - Hdz Bih - Hrvatska Demokratska Zajednica Bih;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica (HDZ);;;C;;;;;;;
327;Hrvatska Koalicija Za Drvar Hdz1990-hdzbih-hsp-dapic-jurisic;Hrvatska Koalicija - HDZ 1990, HDZ, HSP;Hrvatska Koalicija - HDZ 1990, HDZ, HSP;;;C;Y;3;Hrvatska Demokratska Zajednica 1990 (HDZ 1990);Hrvatska Demokratska Zajednica (HDZ);Hrvatska Stranka Prava (HSP);;
322;Hrvatska Koalicija Hdz1990-hkdu;Hrvatska Koalicija - HDZ 1990, HKDU;Hrvatska Koalicija - HDZ 1990, HKDU;;;C;Y;2;Hrvatska Demokratska Zajednica 1990 (HDZ 1990);Hrvatska Krscanska Demokratska Unija (HKDU);;;
328;Hrvatska Koalicija Za Jajce (hdz 1990 - Hkdu Bih);Hrvatska Koalicija - HDZ 1990, HKDU;Hrvatska Koalicija - HDZ 1990, HKDU;;;C;Y;;;;;;
319;Hrvatska Koalicija Hdz 1990 Hss - Nhi;Hrvatska Koalicija - HDZ 1990, HSS, NHI;Hrvatska Koalicija - HDZ 1990, HSS, NHI;;;C;Y;2;Hrvatska Demokratska Zajednica 1990 (HDZ 1990);Hrvatska Demokratska Zajednica 1990 (HDZ 1990);;;
320;Hrvatska Koalicija Hdz 1990, Hss-nhi Za Zepce;Hrvatska Koalicija - HDZ 1990, HSS, NHI;Hrvatska Koalicija - HDZ 1990, HSS, NHI;;;C;Y;2;Hrvatska Demokratska Zajednica 1990 (HDZ 1990);Hrvatska Seljacka Stranka - Nova Hrvatska Inicijativa (HSS-NHI);;;
329;Hrvatska Koalicija Za Pelagicevo Hdz 1990 - Hss-nhi;Hrvatska Koalicija - HDZ 1990, HSS, NHI;Hrvatska Koalicija - HDZ 1990, HSS, NHI;;;C;Y;2;Hrvatska Demokratska Zajednica 1990 (HDZ 1990);Hrvatska Seljacka Stranka - Nova Hrvatska Inicijativa (HSS-NHI);;;
426;Koalicija (hdz, Hkdu);Hrvatska Koalicija - HDZ,  HKDU;Hrvatska Koalicija - HDZ,  HKDU;;;C;Y;2;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Krscanska Demokratska Unija (HKDU);;;
321;Hrvatska Koalicija Hdz Bih I Hdz 1990 Banja Luka;Hrvatska Koalicija - HDZ, HDZ 1990;Hrvatska Koalicija - HDZ, HDZ 1990;;;C;Y;2;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica 1990 (HDZ 1990);;;
332;Hrvatska Koalicija Za Ravno Hdz1990, Hdzbih;Hrvatska Koalicija - HDZ, HDZ 1990;Hrvatska Koalicija - HDZ, HDZ 1990;;;C;Y;2;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica 1990 (HDZ 1990);;;
432;Koalicija Lista Hdz Bih I Hdz1990;Hrvatska Koalicija - HDZ, HDZ 1990;Hrvatska Koalicija - HDZ, HDZ 1990;;;C;Y;2;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica 1990 (HDZ 1990);;;
318;Hrvatska Koalicija (hdz Bih, Hdz 1990, Hkdu Bih);Hrvatska Koalicija - HDZ, HDZ 1990, HKDU;Hrvatska Koalicija - HDZ, HDZ 1990, HKDU;;;C;Y;3;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica 1990 (HDZ 1990);Hrvatska Krscanska Demokratska Unija (HKDU);;
334;Hrvatska Koalicija Za Travnik (hdz Bih, Hdz 1990, Hss-nhi);Hrvatska Koalicija - HDZ, HDZ 1990, HSS, NHI;Hrvatska Koalicija - HDZ, HDZ 1990, HSS, NHI;;;C;Y;3;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica 1990 (HDZ 1990);Hrvatska Seljacka Stranka - Nova Hrvatska Inicijativa (HSS-NHI);;
337;Hrvatska Koalicjia-hdzbih,hss-nhi,hdz1990;Hrvatska Koalicija - HDZ, HDZ 1990, HSS, NHI;Hrvatska Koalicija - HDZ, HDZ 1990, HSS, NHI;renamed from Lista to Koalicija;;C;;;;;;;
315;Hrvatska Demokratska Zajednica Bih I Hrvatska Seljacka Stranka;Hrvatska Koalicija - HDZ, HSS;Hrvatska Koalicija - HDZ, HSS;;;C;Y;2;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Seljacka Stranka (HSS);;;
335;Hrvatska Koalicija Za Vares - Hdz Bih - Hss-nhi;Hrvatska Koalicija - HDZ, HSS, NHI;Hrvatska Koalicija - HDZ, HSS, NHI;;;C;Y;3;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Seljacka Stranka - Nova Hrvatska Inicijativa (HSS-NHI);;;
316;Hrvatska Koalicija - Hdzbih, Hss-nhi, Hdz 1990;Hrvatska Koalicija - HDZ, HSS, NHI, HDZ 1990;Hrvatska Koalicija - HDZ, HSS, NHI, HDZ 1990;is HSS-NHI one or two party;;C;Y;3;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Seljacka Stranka - Nova Hrvatska Inicijativa (HSS-NHI);Hrvatska Demokratska Zajednica 1990 (HDZ 1990);;
331;Hrvatska Koalicija Za Pougarje Hsp-d-j, Hdz 1990;Hrvatska Koalicija - HSP, HDZ 1990;Hrvatska Koalicija - HSP, HDZ 1990;;;C;Y;2;Hrvatska Demokratska Zajednica (HDZ);Hrvatska Stranka Prava (HSP);;;
323;Hrvatska Koalicija Hsp Bih, Hss Stjepana Radica;Hrvatska Koalicija - HSP, HSS;Hrvatska Koalicija - HSP, HSS;;;C;Y;2;Hrvatska Stranka Prava (HSP);Hrvatska Seljacka Stranka (HSS);;;
324;Hrvatska Koalicija Hss Stjepana Radica, Hsp Bih;Hrvatska Koalicija - HSP, HSS;Hrvatska Koalicija - HSP, HSS;;;C;Y;2;Hrvatska Seljacka Stranka (HSS);Hrvatska Stranka Prava (HSP);;;
326;Hrvatska Koalicija Za Busovacu (hss Stjepana Radica, Hsp Bih);Hrvatska Koalicija - HSP, HSS;Hrvatska Koalicija - HSP, HSS;;;C;Y;2;Hrvatska Seljacka Stranka (HSS);Hrvatska Stranka Prava (HSP);;;
340;Hrvatska Lista Za Travnik (hss Stjepana Radica, Hsp Bih);Hrvatska Koalicija - HSP, HSS;Hrvatska Koalicija - HSP, HSS;;;C;;;;;;;
363;Hsp Bih - Hss S.radic - Hrvatska Koalicija;Hrvatska Koalicija - HSP, HSS;Hrvatska Koalicija - HSP, HSS;;;C;;;;;;;
364;Hsp Bih Dapic - Dr. Jurisic - Hnz Bih;Hrvatska Koalicija - HSP, HSS;Hrvatska Koalicija - HSP, HSS;;;C;;;;;;;
365;Hsp Dr. Ante Starcevic Bih;Hrvatska Koalicija - HSP, HSS;Hrvatska Koalicija - HSP, HSS;;;C;;;;;;;
366;Hsp Herceg-bosne;Hrvatska Koalicija - HSP, HSS;Hrvatska Koalicija - HSP, HSS;;;C;;;;;;;
330;Hrvatska Koalicija Za Pougarje Hsp Bih Hss-nhi;Hrvatska Koalicija - HSP, HSS-NHI;Hrvatska Koalicija - HSP, HSS-NHI;;;C;Y;2;Hrvatska Stranka Prava (HSP);Hrvatska Seljacka Stranka - Nova Hrvatska Inicijativa (HSS-NHI);;;
317;Hrvatska Koalicija - Hss - Nhi, Hdz Bih, Hdz 1990, Hnz;Hrvatska Koalicija - HSS-NHI, HDZ, HDZ 1990, HNZ;Hrvatska Koalicija - HSS-NHI, HDZ, HDZ 1990, HNZ;;;C;Y;4;Hrvatska Seljacka Stranka - Nova Hrvatska Inicijativa (HSS-NHI);Hrvatska Demokratska Zajednica (HDZ);Hrvatska Demokratska Zajednica 1990 (HDZ 1990);HNZ;
336;Hrvatska Koalicija Za Zenicu Hdz Bih Hdz1990 Hss-nhi Hnz;Hrvatska Koalicija - HSS, NHI, HDZ, HDZ 1990, HNZ;Hrvatska Koalicija - HSS, NHI, HDZ, HDZ 1990, HNZ;;;C;;;;;;;
325;Hrvatska Koalicija Kantona Sarajevo;Hrvatska Koalicija Kantona Sarajevo;Hrvatska Koalicija Kantona Sarajevo;;;C;Y;;;;;;
333;Hrvatska Koalicija Za Travnik;Hrvatska Koalicija Za Travnik;Hrvatska Koalicija Za Travnik;;;C;Y;;;;;;
302;Hkdu - Bih;Hrvatska Krscanska Demokratska Unija (HKDU);Hrvatska Krscanska Demokratska Unija (HKDU);;;C;;;;;;;
303;Hkdu - Hrvatska Krscanska Demokratska Unija;Hrvatska Krscanska Demokratska Unija (HKDU);Hrvatska Krscanska Demokratska Unija (HKDU);;;C;;;;;;;
305;Hkdu Bih Hrvatska Krscanska Demokratska Unija Bih;Hrvatska Krscanska Demokratska Unija (HKDU);Hrvatska Krscanska Demokratska Unija (HKDU);;;C;;;;;;;
309;Hrvatska Cista Stranka Prava Bih - Hsp Dr.ante Starcevic Bih;Koalicija - HCSP, HSP;Koalicija - HCSP, HSP;;;C;Y;2;;;;;
310;Hrvatska Cista Stranka Prava Bosne I Hercegovine;Hrvatska Cista Stranka Prava (HCSP);Hrvatska Cista Stranka Prava (HCSP);;;C;;;;;;;
338;Hrvatska Krscanska Demokratska Unija Bih;Hrvatska Krscanska Demokratska Unija (HKDU);Hrvatska Krscanska Demokratska Unija (HKDU);;;C;;;;;;;
339;Hrvatska Krscanska Demokratska Unija Bih. (hkdu Bih);Hrvatska Krscanska Demokratska Unija (HKDU);Hrvatska Krscanska Demokratska Unija (HKDU);;;C;;;;;;;
341;Hrvatska Narodna Zajednica;Hrvatska Narodna Zajednica (HNZ);Hrvatska Narodna Zajednica (HNZ);;;C;;;;;;;
342;Hrvatska Narodna Zajednica 1908;Hrvatska Narodna Zajednica (HNZ);Hrvatska Narodna Zajednica (HNZ);;;C;;;;;;;
343;Hrvatska Seljacka Stranka - Hss;Hrvatska Seljacka Stranka (HSS);Hrvatska Seljacka Stranka (HSS);;;C;;;;;;;
344;Hrvatska Seljacka Stranka Bih;Hrvatska Seljacka Stranka (HSS);Hrvatska Seljacka Stranka (HSS);;;C;;;;;;;
