year,district.name,district.id,party,votes.in.municipality,votes.out.municipality,seats,control sum
2000,Bosanski Novi/Novi Grad,7,SNSD - Milorad Dodik,932,17,1,
2000,Bosanski Novi/Novi Grad,7,Demokratska Narodna Zajednica BiH - DNZ BiH,6,8,0,
2000,Bosanski Novi/Novi Grad,7,PDP RS - Mladen Ivanic,813,13,1,
2000,Bosanski Novi/Novi Grad,7,Demokratska Stranka za Banja Luku i Krajinu,97,4,0,
2000,Bosanski Novi/Novi Grad,7,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,46,2,0,
2000,Bosanski Novi/Novi Grad,7,SDS - Srpska Demokratska Stranka,5846,68,8,
2000,Bosanski Novi/Novi Grad,7,BOSS - Bosanska Stranka,2,5,0,
2000,Bosanska Dubica/Kozarska Dubica,8,KNS-Zastite Ljudskih Prava Boraca i Gradana-Pravde I Morala - BH,5,6,0,
2000,Bosanska Dubica/Kozarska Dubica,8,Pensionerska Stranka Republike Srpske,671,2,1,
2000,Bosanska Dubica/Kozarska Dubica,8,SNS - Biljana Plavsic,759,6,1,
2000,Bosanska Dubica/Kozarska Dubica,8,SPAS - Srpska Patriotska Stranka,19,1,0,
2000,Bosanska Dubica/Kozarska Dubica,8,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,54,386,1,
2000,Bosanska Dubica/Kozarska Dubica,8,"Savez za Cjelovitu i Demokratsku Bosnu I  Hercegovinu (SDA BiH, S BiH)",31,799,2,
2000,Bosanska Dubica/Kozarska Dubica,8,Socijalisticka Partija Republike Srpske,1382,17,3,
2000,Bosanska Dubica/Kozarska Dubica,8,SNSD - Milorad Dodik,1429,19,3,
2000,Bosanska Dubica/Kozarska Dubica,8,PDP RS - Mladen Ivanic,1918,18,3,
2000,Bosanska Dubica/Kozarska Dubica,8,Seljacko-Radnicka Stranka Republike Srpske,619,10,1,
2000,Bosanska Dubica/Kozarska Dubica,8,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,48,1,0,
2000,Bosanska Dubica/Kozarska Dubica,8,SDS - Srpska Demokratska Stranka,5340,47,10,
2000,Bosanska Dubica/Kozarska Dubica,8,BOSS - Bosanska Stranka,5,13,0,
2000,Bosanska Dubica/Kozarska Dubica,8,Demokratska Stranka RS,78,1,0,
2000,Prijedor,9,Emir Beganovic,31,245,0,
2000,Prijedor,9,Radikalna Stranka Republike Srpske,1128,32,1,
2000,Prijedor,9,Pensionerska Stranka Republike Srpske,838,15,0,
2000,Prijedor,9,SNS - Biljana Plavsic,4754,27,3,
2000,Prijedor,9,SPAS - Srpska Patriotska Stranka,268,3,0,
2000,Prijedor,9,LBO BiH,22,248,0,
2000,Prijedor,9,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,266,1303,1,
2000,Prijedor,9,HDZBiH-Hrvatska Demokratska Zajednica BiH,44,343,0,
2000,Prijedor,9,"LGK-Liberalno-Gradanska Koalicija BiH (Liberali BiH, GDS BiH)",3,52,0,
2000,Prijedor,9,"Savez za Cjelovitu i Demokratsku Bosnu I  Hercegovinu (SDA BiH, S BiH)",1053,10382,7,
2000,Prijedor,9,Narodna Stranka Republike Srpske,118,2,0,
2000,Prijedor,9,Socijalisticka Partija Republike Srpske,3266,33,2,
2000,Prijedor,9,Bosnjacka Stranka Prava BiH (BSP BiH),24,104,0,
2000,Prijedor,9,Nova Radincka Stranka Republike Srpske,15,0,0,
2000,Prijedor,9,Gracancka Alijanca - Za Novi Politiku,33,1,0,
2000,Prijedor,9,SNSD - Milorad Dodik,10085,101,6,
2000,Prijedor,9,Demokratsko Patriotska Stranka Republike Srpske,328,6,0,
2000,Prijedor,9,Demokratska Narodna Zajednica BiH - DNZ BiH,42,19,0,
2000,Prijedor,9,PDP RS - Mladen Ivanic,4611,30,3,
2000,Prijedor,9,Seljacko-Radnicka Stranka Republike Srpske,168,3,0,
2000,Prijedor,9,Zena BiH,4,17,0,
2000,Prijedor,9,Demokratska Stranka za Banja Luku i Krajinu,505,6,0,
2000,Prijedor,9,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,256,1,0,
2000,Prijedor,9,SDS - Srpska Demokratska Stranka,14185,101,8,
2000,Prijedor,9,BOSS - Bosanska Stranka,8,48,0,
2000,Bosanska Gradiska/Gradiska,10,KNS-Zastite Ljudskih Prava Boraca i Gradana-Pravde I Morala - BH,4,3,0,
2000,Bosanska Gradiska/Gradiska,10,Radikalna Stranka Republike Srpske,125,7,0,
2000,Bosanska Gradiska/Gradiska,10,Pensionerska Stranka Republike Srpske,669,3,1,
2000,Bosanska Gradiska/Gradiska,10,SNS - Biljana Plavsic,1001,16,1,
2000,Bosanska Gradiska/Gradiska,10,Nezavisna Septembarska Stranka ,94,1,0,
2000,Bosanska Gradiska/Gradiska,10,SPAS - Srpska Patriotska Stranka,428,11,0,
2000,Bosanska Gradiska/Gradiska,10,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,503,1483,2,
2000,Bosanska Gradiska/Gradiska,10,HDZBiH-Hrvatska Demokratska Zajednica BiH,16,78,0,
2000,Bosanska Gradiska/Gradiska,10,Stranka Privatnih Poslodavaca - Gradiska,164,6,0,
2000,Bosanska Gradiska/Gradiska,10,"Savez za Cjelovitu i Demokratsku Bosnu I  Hercegovinu (SDA BiH, S BiH)",267,2131,3,
2000,Bosanska Gradiska/Gradiska,10,Narodna Stranka Republike Srpske,48,0,0,
2000,Bosanska Gradiska/Gradiska,10,Socijalisticka Partija Republike Srpske,931,12,1,
2000,Bosanska Gradiska/Gradiska,10,Srpski Pokret Obnove (SPO),28,0,0,
2000,Bosanska Gradiska/Gradiska,10,SNSD - Milorad Dodik,8640,52,9,
2000,Bosanska Gradiska/Gradiska,10,PDP RS - Mladen Ivanic,1874,11,2,
2000,Bosanska Gradiska/Gradiska,10,Seljacka Stranka - Gordana Vidovnic,239,1,0,
2000,Bosanska Gradiska/Gradiska,10,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,129,4,0,
2000,Bosanska Gradiska/Gradiska,10,SDS - Srpska Demokratska Stranka,7819,58,8,
2000,Bosanska Gradiska/Gradiska,10,Bosanskohercegovacka Patriotska Stranka - BPS,8,8,0,
2000,Bosanska Gradiska/Gradiska,10,BOSS - Bosanska Stranka,0,1,0,
2000,Laktasi,11,Radikalna Stranka Republike Srpske,58,8,0,
2000,Laktasi,11,Pensionerska Stranka Republike Srpske,256,6,1,
2000,Laktasi,11,SNS - Biljana Plavsic,307,2,1,
2000,Laktasi,11,Nezavisna Septembarska Stranka ,99,1,0,
2000,Laktasi,11,SPAS - Srpska Patriotska Stranka,95,6,0,
2000,Laktasi,11,Savez komunista BiH (SK BiH),54,18,0,
2000,Laktasi,11,Narodna Stranka Republike Srpske,23,0,0,
2000,Laktasi,11,Socijalisticka Partija Republike Srpske,574,8,1,
2000,Laktasi,11,SNSD - Milorad Dodik,6684,162,14,
2000,Laktasi,11,Demokratsko Patriotska Stranka Republike Srpske,39,4,0,
2000,Laktasi,11,PDP RS - Mladen Ivanic,843,7,2,
2000,Laktasi,11,Seljacka Stranka - Gordana Vidovnic,106,6,0,
2000,Laktasi,11,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,69,0,0,
2000,Laktasi,11,SDS - Srpska Demokratska Stranka,3162,35,6,
2000,Srbac,12,Radikalna Stranka Republike Srpske,51,2,0,
2000,Srbac,12,SNS - Biljana Plavsic,885,6,2,
2000,Srbac,12,SPAS - Srpska Patriotska Stranka,23,1,0,
2000,Srbac,12,Savez komunista BiH (SK BiH),49,11,0,
2000,Srbac,12,Narodna Stranka Republike Srpske,43,4,0,
2000,Srbac,12,Socijalisticka Partija Republike Srpske,1469,18,4,
2000,Srbac,12,SNSD - Milorad Dodik,2691,63,6,
2000,Srbac,12,Demokratsko Patriotska Stranka Republike Srpske,92,2,0,
2000,Srbac,12,PDP RS - Mladen Ivanic,831,13,2,
2000,Srbac,12,Seljacka Stranka - Gordana Vidovnic,132,1,0,
2000,Srbac,12,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,28,0,0,
2000,Srbac,12,SDS - Srpska Demokratska Stranka,2498,22,6,
2000,Srbac,12,Lazar Kusic,266,13,1,
2000,Prnjavor,13,KNS-Zastite Ljudskih Prava Boraca i Gradana-Pravde I Morala - BH,11,1,0,
2000,Prnjavor,13,Pensionerska Stranka Republike Srpske,371,4,1,
2000,Prnjavor,13,SNS - Biljana Plavsic,3235,40,5,
2000,Prnjavor,13,Radnicka Partija RS - Zdravko Doslic Tergaz,20,1,0,
2000,Prnjavor,13,SPAS - Srpska Patriotska Stranka,42,2,0,
2000,Prnjavor,13,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,132,602,1,
2000,Prnjavor,13,"LGK-Liberalno-Gradanska Koalicija BiH (Liberali BiH, GDS BiH)",5,7,0,
2000,Prnjavor,13,"Savez za Cjelovitu i Demokratsku Bosnu I  Hercegovinu (SDA BiH, S BiH)",91,894,2,
2000,Prnjavor,13,Socijalisticka Partija Republike Srpske,1199,11,2,
2000,Prnjavor,13,Gracancka Alijanca - Za Novi Politiku,16,6,0,
2000,Prnjavor,13,SNSD - Milorad Dodik,2591,53,4,
2000,Prnjavor,13,PDP RS - Mladen Ivanic,882,20,1,
2000,Prnjavor,13,Demokratska Stranka za Banja Luku i Krajinu,93,4,0,
2000,Prnjavor,13,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,51,1,0,
2000,Prnjavor,13,SDS - Srpska Demokratska Stranka,9209,85,15,
2000,Prnjavor,13,Bosanskohercegovacka Patriotska Stranka - BPS,6,35,0,
2000,Prnjavor,13,BOSS - Bosanska Stranka,4,2,0,
2000,Derventa,14,KNS-Zastite Ljudskih Prava Boraca i Gradana-Pravde I Morala - BH,2,2,0,
2000,Derventa,14,SNS - Biljana Plavsic,788,11,1,
2000,Derventa,14,Radnicka Partija RS - Zdravko Doslic Tergaz,13,1,0,
2000,Derventa,14,SPAS - Srpska Patriotska Stranka,17,0,0,
2000,Derventa,14,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,63,509,1,
2000,Derventa,14,HDZBiH-Hrvatska Demokratska Zajednica BiH,13,939,1,
2000,Derventa,14,"LGK-Liberalno-Gradanska Koalicija BiH (Liberali BiH, GDS BiH)",6,13,0,
2000,Derventa,14,"Savez za Cjelovitu i Demokratsku Bosnu I  Hercegovinu (SDA BiH, S BiH)",49,740,1,
2000,Derventa,14,Socijalisticka Partija Republike Srpske,2249,45,3,
2000,Derventa,14,HKDU - BiH,2,82,0,
2000,Derventa,14,Nova Radincka Stranka Republike Srpske,8,1,0,
2000,Derventa,14,Nova Hrvatska Inicijativa (NHI),19,1893,3,
2000,Derventa,14,Gracancka Alijanca - Za Novi Politiku,27,2,0,
2000,Derventa,14,SNSD - Milorad Dodik,2658,44,4,
2000,Derventa,14,PDP RS - Mladen Ivanic,1111,9,2,
2000,Derventa,14,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,31,0,0,
2000,Derventa,14,HSS BiH,8,256,0,
2000,Derventa,14,SDS - Srpska Demokratska Stranka,6918,52,11,
2000,Bosanski Brod/Srpski Brod,16,SNS - Biljana Plavsic,656,14,1,
2000,Bosanski Brod/Srpski Brod,16,Radnicka Partija RS - Zdravko Doslic Tergaz,8,4,0,
2000,Bosanski Brod/Srpski Brod,16,SPAS - Srpska Patriotska Stranka,323,5,1,
2000,Bosanski Brod/Srpski Brod,16,LBO BiH,0,48,0,
2000,Bosanski Brod/Srpski Brod,16,HDZBiH-Hrvatska Demokratska Zajednica BiH,3,968,2,
2000,Bosanski Brod/Srpski Brod,16,"Savez za Cjelovitu i Demokratsku Bosnu I  Hercegovinu (SDA BiH, S BiH)",4,503,1,
2000,Bosanski Brod/Srpski Brod,16,Socijalisticka Partija Republike Srpske,1995,94,4,
2000,Bosanski Brod/Srpski Brod,16,Nova Hrvatska Inicijativa (NHI),7,1836,3,
2000,Bosanski Brod/Srpski Brod,16,SNSD - Milorad Dodik,1486,56,3,
2000,Bosanski Brod/Srpski Brod,16,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,40,0,0,
2000,Bosanski Brod/Srpski Brod,16,HSS BiH,10,932,2,
2000,Bosanski Brod/Srpski Brod,16,SDS - Srpska Demokratska Stranka,4938,125,10,
2000,Bosanski Brod/Srpski Brod,16,BOSS - Bosanska Stranka,1,20,0,
2000,Odzak,17,"Hrvatski Narodni Savez BiH (HSSBiH, HNZ)",147,47,1,
2000,Odzak,17,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,1496,288,6,
2000,Odzak,17,HDZBiH-Hrvatska Demokratska Zajednica BiH,2104,353,8,
2000,Odzak,17,Stranka za Bosnu i Hercegovinu,218,57,1,
2000,Odzak,17,"LGK-Liberalno-Gradanska Koalicija BiH (Liberali BiH, GDS BiH)",15,0,0,
2000,Odzak,17,Posavska Demokratska Stranka (PDS),12,6,0,
2000,Odzak,17,Nova Hrvatska Inicijativa (NHI),1259,260,5,
2000,Odzak,17,Hrvatska Stranka Prava (HSP),138,24,1,
2000,Odzak,17,Stranka Demokratske Akcije - SDA,827,130,3,
2000,Odzak,17,BOSS - Bosanska Stranka,4,4,0,
2000,Odzak/Vukosavlje,18,Radnicka Partija RS - Zdravko Doslic Tergaz,5,0,0,
2000,Odzak/Vukosavlje,18,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,67,315,2,
2000,Odzak/Vukosavlje,18,HDZBiH-Hrvatska Demokratska Zajednica BiH,2,151,1,
2000,Odzak/Vukosavlje,18,"Savez za Cjelovitu i Demokratsku Bosnu I  Hercegovinu (SDA BiH, S BiH)",50,325,2,
2000,Odzak/Vukosavlje,18,Nova Hrvatska Inicijativa (NHI),4,46,0,
2000,Odzak/Vukosavlje,18,SNSD - Milorad Dodik,807,3,5,
2000,Odzak/Vukosavlje,18,SDS - Srpska Demokratska Stranka,759,6,5,
2000,Odzak/Vukosavlje,18,BOSS - Bosanska Stranka,1,3,4,
2000,Domaljevac-Samac,20,"Hrvatski Narodni Savez BiH (HSSBiH, HNZ)",104,6,1,
2000,Domaljevac-Samac,20,HDZBiH-Hrvatska Demokratska Zajednica BiH,649,17,6,
2000,Domaljevac-Samac,20,Posavska Demokratska Stranka (PDS),11,5,0,
2000,Domaljevac-Samac,20,Nova Hrvatska Inicijativa (NHI),284,36,3,
2000,Domaljevac-Samac,20,Hrvatska Stranka Prava (HSP),69,3,1,
2000,Bosanski Samac/Samac,21,Srpski Narodni Otadzbinski Pokret,50,2,0,
2000,Bosanski Samac/Samac,21,SNS - Biljana Plavsic,688,10,2,
2000,Bosanski Samac/Samac,21,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,66,125,0,
2000,Bosanski Samac/Samac,21,HDZBiH-Hrvatska Demokratska Zajednica BiH,6,333,1,
2000,Bosanski Samac/Samac,21,"LGK-Liberalno-Gradanska Koalicija BiH (Liberali BiH, GDS BiH)",15,8,0,
2000,Bosanski Samac/Samac,21,"Savez za Cjelovitu i Demokratsku Bosnu I  Hercegovinu (SDA BiH, S BiH)",25,262,1,
2000,Bosanski Samac/Samac,21,Socijalisticka Partija Republike Srpske,1263,39,3,
2000,Bosanski Samac/Samac,21,Nova Hrvatska Inicijativa (NHI),8,597,2,
2000,Bosanski Samac/Samac,21,SNSD - Milorad Dodik,457,13,1,
2000,Bosanski Samac/Samac,21,PDP RS - Mladen Ivanic,816,15,2,
2000,Bosanski Samac/Samac,21,Demokratska Stranka za Banja Luku i Krajinu,95,2,0,
2000,Bosanski Samac/Samac,21,Seljacka Stranka - Gordana Vidovnic,83,0,0,
2000,Bosanski Samac/Samac,21,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,95,0,0,
2000,Bosanski Samac/Samac,21,SDS - Srpska Demokratska Stranka,5089,42,13,
2000,Bosanski Samac/Samac,21,BOSS - Bosanska Stranka,3,8,0,
2000,Orasje,22,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,632,61,3,
2000,Orasje,22,HDZBiH-Hrvatska Demokratska Zajednica BiH,2850,184,12,
2000,Orasje,22,Stranka za Bosnu i Hercegovinu,159,21,1,
2000,Orasje,22,"LGK-Liberalno-Gradanska Koalicija BiH (Liberali BiH, GDS BiH)",3,0,0,
2000,Orasje,22,Posavska Demokratska Stranka (PDS),114,13,0,
2000,Orasje,22,Nova Hrvatska Inicijativa (NHI),1587,117,7,
2000,Orasje,22,Hrvatska Stranka Prava (HSP),239,10,1,
2000,Orasje,22,Partija Pravog Puta BiH,17,3,0,
2000,Orasje,22,Stranka Demokratske Akcije - SDA,311,29,1,
2000,Orasje/Srpsko Orasje,23,SNS - Biljana Plavsic,47,0,1,
2000,Orasje/Srpsko Orasje,23,Socijalisticka Partija Republike Srpske,161,3,2,
2000,Orasje/Srpsko Orasje,23,SNSD - Milorad Dodik,46,1,1,
2000,Orasje/Srpsko Orasje,23,PDP RS - Mladen Ivanic,139,2,2,
2000,Orasje/Srpsko Orasje,23,Seljacka Stranka - Gordana Vidovnic,216,9,3,
2000,Orasje/Srpsko Orasje,23,SDS - Srpska Demokratska Stranka,559,4,6,
2000,Modrica,24,Pensionerska Stranka Republike Srpske,511,7,1,
2000,Modrica,24,SNS - Biljana Plavsic,323,5,1,
2000,Modrica,24,HDZBiH-Hrvatska Demokratska Zajednica BiH,5,516,1,
2000,Modrica,24,"LGK-Liberalno-Gradanska Koalicija BiH (Liberali BiH, GDS BiH)",0,10,0,
2000,Modrica,24,Republikanska Stranka BiH,3,19,0,
2000,Modrica,24,"Savez za Cjelovitu i Demokratsku Bosnu I  Hercegovinu (SDA BiH, S BiH)",20,500,1,
2000,Modrica,24,Narodna Stranka Republike Srpske,115,0,0,
2000,Modrica,24,Socijalisticka Partija Republike Srpske,820,20,2,
2000,Modrica,24,Nova Radincka Stranka Republike Srpske,21,0,0,
2000,Modrica,24,Gracancka Alijanca - Za Novi Politiku,142,1,0,
2000,Modrica,24,SNSD - Milorad Dodik,1827,25,4,
2000,Modrica,24,PDP RS - Mladen Ivanic,850,5,2,
2000,Modrica,24,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,33,1,0,
2000,Modrica,24,Lista za Modricu,71,2018,4,
2000,Modrica,24,SDS - Srpska Demokratska Stranka,7722,79,15,
2000,Modrica,24,BOSS - Bosanska Stranka,1,7,0,
2000,Gradacac,25,KNS-Zastite Ljudskih Prava Boraca i Gradana-Pravde I Morala - BH,74,3,0,
2000,Gradacac,25,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,4659,249,11,
2000,Gradacac,25,HDZBiH-Hrvatska Demokratska Zajednica BiH,187,83,1,
2000,Gradacac,25,Stranka za Bosnu i Hercegovinu,1512,86,4,
2000,Gradacac,25,"LGK-Liberalno-Gradanska Koalicija BiH (Liberali BiH, GDS BiH)",150,6,0,
2000,Gradacac,25,Nova Hrvatska Inicijativa (NHI),126,155,1,
2000,Gradacac,25,DS Penzionera BiH,362,11,1,
2000,Gradacac,25,Partija Pravog Puta BiH,64,4,0,
2000,Gradacac,25,Nova Bosna ,38,0,0,
2000,Gradacac,25,Muslimanska Bosnjacka Organizacija Bosne i Hercegovine,56,4,0,
2000,Gradacac,25,Stranka Demokratske Akcije - SDA,5217,238,12,
2000,Gradacac,25,BOSS - Bosanska Stranka,68,2,0,
2000,Gradacac/Pelagicevo,26,SNS - Biljana Plavsic,391,8,2,
2000,Gradacac/Pelagicevo,26,Socijalisticka Partija Republike Srpske,145,6,1,
2000,Gradacac/Pelagicevo,26,Nova Hrvatska Inicijativa (NHI),5,802,4,
2000,Gradacac/Pelagicevo,26,SNSD - Milorad Dodik,658,10,4,
2000,Gradacac/Pelagicevo,26,Seljacka Stranka - Gordana Vidovnic,35,1,0,
2000,Gradacac/Pelagicevo,26,SDS - Srpska Demokratska Stranka,1040,11,6,
2000,Bijeljina,29,KNS-Zastite Ljudskih Prava Boraca i Gradana-Pravde I Morala - BH,17,16,0,
2000,Bijeljina,29,Pensionerska Stranka Republike Srpske,400,5,0,
2000,Bijeljina,29,SNS - Biljana Plavsic,2306,11,2,
2000,Bijeljina,29,Radnicka Partija RS - Zdravko Doslic Tergaz,15,1,0,
2000,Bijeljina,29,SPAS - Srpska Patriotska Stranka,35,0,0,
2000,Bijeljina,29,SDP - Socijaldemokratska Partija Bosne i Hercegovine - Socijaldemokrati,620,1917,2,
2000,Bijeljina,29,"LGK-Liberalno-Gradanska Koalicija BiH (Liberali BiH, GDS BiH)",27,32,0,
2000,Bijeljina,29,Savez komunista BiH (SK BiH),116,3,0,
2000,Bijeljina,29,"Savez za Cjelovitu i Demokratsku Bosnu I  Hercegovinu (SDA BiH, S BiH)",388,2240,2,
2000,Bijeljina,29,Socijalisticka Partija Republike Srpske,3513,23,2,
2000,Bijeljina,29,Srpski Pokret Obnove (SPO),773,11,1,
2000,Bijeljina,29,Reformsko Patriotske Snage - RPS,27,9,0,
2000,Bijeljina,29,Gracancka Alijanca - Za Novi Politiku,198,3,0,
2000,Bijeljina,29,DS Penzionera BiH,21,15,0,
2000,Bijeljina,29,SNSD - Milorad Dodik,2663,60,2,
2000,Bijeljina,29,PDP RS - Mladen Ivanic,4856,21,3,
2000,Bijeljina,29,Za Kralja i Otadzbinu - Narodna Radikalna Stranka,147,6,0,
2000,Bijeljina,29,Nova Bosna ,5,8,0,
2000,Bijeljina,29,SDS - Srpska Demokratska Stranka,23471,107,15,
2000,Bijeljina,29,Demokratska Stranka Rs,3525,20,2,
